,ts,lat,lon,speed
0,2017-07-01 00:00:56,13.984603,100.60413,0
1,2017-07-01 00:01:26,13.984603,100.60413,0
2,2017-07-01 00:01:56,13.984633,100.60413,0
3,2017-07-01 00:02:26,13.984633,100.60411,0
4,2017-07-01 00:02:56,13.984633,100.60411,0
5,2017-07-01 00:03:11,13.984633,100.60411,0
6,2017-07-01 00:03:41,13.984633,100.60411,0
7,2017-07-01 00:04:11,13.984633,100.60411,0
8,2017-07-01 00:04:41,13.984633,100.60411,0
9,2017-07-01 00:05:11,13.984633,100.60408,0
10,2017-07-01 00:05:41,13.984633,100.60408,0
11,2017-07-01 00:05:56,13.984633,100.60408,0
12,2017-07-01 00:06:56,13.984633,100.60408,0
13,2017-07-01 00:07:26,13.984633,100.60408,0
14,2017-07-01 00:07:41,13.984633,100.60408,0
15,2017-07-01 00:08:11,13.984633,100.60408,0
16,2017-07-01 00:08:41,13.984633,100.60408,0
17,2017-07-01 00:09:11,13.984633,100.60408,0
18,2017-07-01 00:09:56,13.984633,100.60408,0
19,2017-07-01 00:10:41,13.984633,100.60408,0
20,2017-07-01 00:11:11,13.984633,100.60408,0
21,2017-07-01 00:11:41,13.984633,100.60408,0
22,2017-07-01 00:12:11,13.984633,100.60408,0
23,2017-07-01 00:12:41,13.984633,100.60408,0
24,2017-07-01 00:13:11,13.984633,100.60408,0
25,2017-07-01 00:13:41,13.984633,100.60408,0
26,2017-07-01 00:13:56,13.984633,100.60408,0
27,2017-07-01 00:14:56,13.984633,100.60405,0
28,2017-07-01 00:15:11,13.984633,100.60405,0
29,2017-07-01 00:15:41,13.984633,100.60405,0
30,2017-07-01 00:16:11,13.984633,100.60405,0
31,2017-07-01 00:16:56,13.984633,100.60405,0
32,2017-07-01 00:17:11,13.984633,100.60405,0
33,2017-07-01 00:17:41,13.984633,100.60405,0
34,2017-07-01 00:17:56,13.984633,100.60405,0
35,2017-07-01 00:18:41,13.984633,100.60405,0
36,2017-07-01 00:19:11,13.984633,100.60405,0
37,2017-07-01 00:19:41,13.984633,100.60405,0
38,2017-07-01 00:20:11,13.984633,100.60405,0
39,2017-07-01 00:20:41,13.984633,100.60405,0
40,2017-07-01 00:21:11,13.984633,100.60405,0
41,2017-07-01 00:22:41,13.984633,100.60405,0
42,2017-07-01 00:22:56,13.984633,100.60405,0
43,2017-07-01 00:23:41,13.984633,100.60405,0
44,2017-07-01 00:24:11,13.984633,100.60405,0
45,2017-07-01 00:24:56,13.984633,100.60405,0
46,2017-07-01 00:25:11,13.984633,100.60405,0
47,2017-07-01 00:25:41,13.984663,100.60408,1
48,2017-07-01 00:25:56,13.984663,100.604,3
49,2017-07-01 00:26:41,13.985833,100.60358,9
50,2017-07-01 00:27:11,13.985913,100.60355,4
51,2017-07-01 00:27:56,13.986493,100.60386,40
52,2017-07-01 00:28:11,13.986693,100.60497,41
53,2017-07-01 00:28:56,13.987243,100.6083,8
54,2017-07-01 00:29:11,13.987413,100.60933,38
55,2017-07-01 00:29:56,13.989163,100.61386,43
56,2017-07-01 00:30:11,13.990353,100.6148,41
57,2017-07-01 00:30:56,13.993413,100.61463,15
58,2017-07-01 00:31:11,13.994333,100.61408,33
59,2017-07-01 00:31:56,13.996213,100.61577,28
60,2017-07-01 00:32:26,13.994023,100.61505,41
61,2017-07-01 00:32:56,13.991083,100.61541,27
62,2017-07-01 00:33:11,13.990943,100.61541,13
63,2017-07-01 00:34:01,13.987803,100.61597,1
64,2017-07-01 00:34:16,13.987803,100.61597,0
65,2017-07-01 00:34:56,13.984273,100.6165,47
66,2017-07-01 00:35:11,13.982187,100.616827,63
67,2017-07-01 00:35:56,13.975167,100.617997,61
68,2017-07-01 00:36:11,13.972717,100.618467,61
69,2017-07-01 00:36:56,13.968467,100.619297,41
70,2017-07-01 00:37:11,13.966777,100.619637,49
71,2017-07-01 00:37:41,13.9623,100.620467,63
72,2017-07-01 00:38:11,13.96044,100.620797,0
73,2017-07-01 00:38:41,13.95852,100.621077,43
74,2017-07-01 00:39:11,13.95444,100.620777,63
75,2017-07-01 00:39:41,13.95191,100.619607,30
76,2017-07-01 00:40:11,13.948803,100.617887,59
77,2017-07-01 00:40:26,13.946663,100.616687,65
78,2017-07-01 00:40:41,13.944213,100.61536,74
79,2017-07-01 00:40:56,13.941713,100.61394,71
80,2017-07-01 00:41:56,13.936413,100.61083,59
81,2017-07-01 00:42:11,13.934303,100.60963,67
82,2017-07-01 00:42:56,13.927497,100.60572,54
83,2017-07-01 00:43:11,13.925247,100.60444,53
84,2017-07-01 00:43:51,13.922137,100.60286,0
85,2017-07-01 00:44:11,13.921167,100.60225,38
86,2017-07-01 00:44:41,13.917527,100.60013,65
87,2017-07-01 00:44:56,13.91527,100.598853,66
88,2017-07-01 00:45:56,13.905,100.592943,79
89,2017-07-01 00:46:11,13.90241,100.591713,73
90,2017-07-01 00:46:56,13.898133,100.589553,28
91,2017-07-01 00:47:11,13.896693,100.588883,51
92,2017-07-01 00:47:41,13.892693,100.586463,69
93,2017-07-01 00:47:56,13.890663,100.585243,56
94,2017-07-01 00:48:41,13.885413,100.582297,62
95,2017-07-01 00:48:56,13.883663,100.581467,40
96,2017-07-01 00:49:16,13.882607,100.580997,0
97,2017-07-01 00:49:41,13.881107,100.580187,36
98,2017-07-01 00:50:11,13.877917,100.578217,49
99,2017-07-01 00:50:56,13.874797,100.576467,41
100,2017-07-01 00:51:11,13.873167,100.575497,56
101,2017-07-01 00:51:41,13.868547,100.573027,70
102,2017-07-01 00:51:56,13.86627,100.571777,71
103,2017-07-01 00:52:11,13.86377,100.570437,73
104,2017-07-01 00:52:41,13.85861,100.567777,76
105,2017-07-01 00:53:11,13.85386,100.56516,67
106,2017-07-01 00:53:56,13.847413,100.56177,60
107,2017-07-01 00:53:56,13.847413,100.56177,60
108,2017-07-01 00:54:41,13.840883,100.55841,62
109,2017-07-01 00:54:56,13.838193,100.55769,74
110,2017-07-01 00:55:26,13.832467,100.55752,75
111,2017-07-01 00:55:56,13.826747,100.55811,71
112,2017-07-01 00:55:56,13.826747,100.55811,71
113,2017-07-01 00:56:56,13.821497,100.55861,45
114,2017-07-01 00:57:11,13.819997,100.5588,11
115,2017-07-01 00:57:56,13.81586,100.559,57
116,2017-07-01 00:58:11,13.81366,100.55944,53
117,2017-07-01 00:58:56,13.81072,100.55847,32
118,2017-07-01 00:59:11,13.80952,100.55775,37
119,2017-07-01 00:59:56,13.80658,100.55594,0
120,2017-07-01 01:00:11,13.80616,100.55569,25
121,2017-07-01 01:00:56,13.8028,100.55372,0
122,2017-07-01 01:01:11,13.80269,100.55366,15
123,2017-07-01 01:01:26,13.80213,100.55336,9
124,2017-07-01 01:01:56,13.80069,100.55258,2
125,2017-07-01 01:02:11,13.80036,100.55238,20
126,2017-07-01 01:02:56,13.797133,100.55094,39
127,2017-07-01 01:03:11,13.795553,100.55036,36
128,2017-07-01 01:03:41,13.793833,100.549743,35
129,2017-07-01 01:03:56,13.792773,100.549583,1
130,2017-07-01 01:04:56,13.790163,100.548663,20
131,2017-07-01 01:05:11,13.789333,100.548333,15
132,2017-07-01 01:05:56,13.786213,100.547413,29
133,2017-07-01 01:06:11,13.784743,100.546963,39
134,2017-07-01 01:06:26,13.783107,100.546443,42
135,2017-07-01 01:07:01,13.779967,100.545333,6
136,2017-07-01 01:07:11,13.779577,100.545133,22
137,2017-07-01 01:07:56,13.775027,100.543303,48
138,2017-07-01 01:08:11,13.773417,100.542713,42
139,2017-07-01 01:08:56,13.768107,100.540163,10
140,2017-07-01 01:08:56,13.768107,100.540163,10
141,2017-07-01 01:09:56,13.76536,100.538443,18
