ลำดับป้ายรถเมล์,ชื่อภาษาไทย,ชื่อภาษาอังกฤษ,รายละเอียด,ละติจูด,ลองติจูด,ชื่ออ้างอิง,ชื่ออ้างอิงภาษาอังกฤษ
1,วังสราญรมย์,Saran Rom Palace,ถนน เจริญกรุง ขาออก,13.7473483946731,100.495688571573,"วังสราญรมย์,สวนสราญรมย์","Saran Rom Palace,Saran Rom Park"
2,วังบูรพา,Wangburapa,ถนน มหาไชย มุ่งหน้าผ่านฟ้า,13.7455486301662,100.502710966071,"เมอร์รี่คิงวังบูรพา,วังบูรพา,โรงแรมแกรนด์เดอวิลล์,เมก้าพลาซ่า วังบูรพา","Merry King Wangburapa,Wangburapa,Grand De Ville Hotel,Mega Plaza Wangburapa"
5,วัดช่องลม,Wat chong lom,ถนน พระราม 3,13.7028362429334,100.545883776693,วัดช่องลม,"Wat chong lom,"
10,โรงเรียนเซนต์จอห์น, sen chon school,ถนน วิภาวดีรังสิต,13.8096880364313,100.560051392063,โรงเรียนเซนต์จอห์น,"rongrian sen chon,"
11,โรงพยาบาลเด็ก,Children Hospital,ถนน ราชวิถี ขาเข้า,13.7662307188227,100.535158236648,"สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,โรงพยาบาลเด็ก,รพ.เด็ก",Children Hospital
12,แยกบรม,yaek borom,ถนน จรัญสนิทวงศ์,13.7726695925627,100.481137862598,แยกบรม,"yaek borom,"
14,สะพานเหลืองซอยหมอสุ่น,"soi mhor soon, sapan lueng",ถนน พระราม 4,13.7348642086809,100.523402822048,"สะพานเหลืองซอยหมอสุ่น,ซอยหมอสุ่น , สะพานเหลือง","soi mhor soon, sapan lueng,"
15,ซอยรามคำแหง 43/1,pak soi soi ram kham hang 43/1,ถนน รามคำแหง,13.758973752681,100.616997465167,ปากซอยรามคำแหง 43/1,"pak soi soi ram kham hang 43/1,"
16,ตรงข้ามศูนย์วิจัย,sunwichai,ถนน เพชรบุรี,13.744841422026,100.583749444053,"ตรงข้าม ศูนย์วิจัย,ศูนย์วิจัย","sunwichai,"
17,เทสโก้โลตัสพัฒนาการ,"lotus patthanakan, muban kheha nakhon 3",ถนน พัฒนาการ,13.736382176089,100.635558687117,ตรงข้ามหมู่บ้านเคหะนคร 3,"lotus patthanakan, muban kheha nakhon 3,"
