poppulationcount,Electricitygeneration,PetroleumOut,IEA,industy growth,crude oil price,PetroleumIn
65824164,136766.7,3685462694,57.34,87084208859.09,66.05,6470546629
66195615,142537.5,3888873388,60.49,103983724527.93,72.34,6429525355
66545760,145437.4,5770072377,65.5,115345432605,99.67,7500601532
66881867,145906.7,4182483017,64.62,109043044059.06,61.95,6709430468
67208808,157575,6306410679,70.58,136485291472.18,79.48,6877836043
67530130,153315.5,8542398819,68.67,141179862060.82,94.88,9101457350
67843979,168956.2,9675115721,75.45,148799154524.48,90.62,10670843659
68143065,168633.7,9401881412,78.07,155528021870.73,105.43,11357690526
68416772,173764.2,8566990649,78.74,150184391529.51,96.66,11744631432
68657600,177775,6148895583,79.09,145279274228.63,51.23,10316443973
68863514,179775,4585787931,79.25,145737548869.62,41.24,8723323235
